author,Author full names,Author(s) ID,title,year,source_title,Volume,Issue,Art. No.,Page start,Page end,Page count,cited_by,doi,Link,Affiliations,Authors with affiliations,abstract,author_keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,document_type,Publication Stage,Open Access,Source,EID,source_db,PT,BA,BE,GP,AF,BF,CA,SE,BS,LA,CT,CY,CL,SP,HO,ID,C1,C3,RP,EM,RI,OI,FU,FP,FX,CR,NR,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,VL,IS,PN,SU,SI,MA,BP,EP,AR,DL,D2,EA,PG,WC,WE,SC,GA,PM,OA,HC,HP,DA,UT,20241028 - Portfolio management,Dominant_Topic,Perc_Contribution,Keep
Gunjan A.; Bhattacharyya S.,"Gunjan, Abhishek (57223088469); Bhattacharyya, Siddhartha (7402157487)",57223088469; 7402157487,A brief review of portfolio optimization techniques,2023,Artificial Intelligence Review,56,5,,3847.0,3886.0,39.0,25,10.1007/s10462-022-10273-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138211191&doi=10.1007%2fs10462-022-10273-7&partnerID=40&md5=b1d6b71463c5f7e372dc4db1e049824e,"Christ Deemed to be University, Bangalore, India; Rajnagar Mahavidyalaya, Birbhum, India","Gunjan A., Christ Deemed to be University, Bangalore, India; Bhattacharyya S., Rajnagar Mahavidyalaya, Birbhum, India","Portfolio optimization has always been a challenging proposition in finance and management. Portfolio optimization facilitates in selection of portfolios in a volatile market situation. In this paper, different classical, statistical and intelligent approaches employed for portfolio optimization and management are reviewed. A brief study is performed to understand why portfolio is important for any organization and how recent advances in machine learning and artificial intelligence can help portfolio managers to take right decisions regarding allotment of portfolios. A comparative study of different techniques, first of its kind, is presented in this paper. An effort is also made to compile classical, intelligent, and quantum-inspired techniques that can be employed in portfolio optimization. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.",Deep learning; Evolutionary techniques; Machine learning; Portfolio optimization; Quantum computing; Reinforcement learning; Statistical measures,Financial data processing; Learning systems; Quantum computers; Reinforcement learning; Deep learning; Evolutionary techniques; Machine-learning; Market situation; Optimization techniques; Portfolio optimization; Quantum Computing; Reinforcement learnings; Statistical measures; Volatile markets; Deep learning,"S. Bhattacharyya; Rajnagar Mahavidyalaya, Birbhum, India; email: dr.siddhartha.bhattacharyya@ieee.org",,Springer Nature,02692821,,AIRVE,,English,Artif Intell Rev,Article,Final,,Scopus,2-s2.0-85138211191,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9967323541641235,
Thakkar A.; Chaudhari K.,"Thakkar, Ankit (35186617300); Chaudhari, Kinjal (57205633300)",35186617300; 57205633300,"A Comprehensive Survey on Portfolio Optimization, Stock Price and Trend Prediction Using Particle Swarm Optimization",2021,Archives of Computational Methods in Engineering,28,4,,2133.0,2164.0,31.0,68,10.1007/s11831-020-09448-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086704233&doi=10.1007%2fs11831-020-09448-8&partnerID=40&md5=c213f1bbb9640cd164a113fd4b113e1e,"Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, 382 481, Gujarat, India","Thakkar A., Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, 382 481, Gujarat, India; Chaudhari K., Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, 382 481, Gujarat, India","Stock market trading has been a subject of interest to investors, academicians, and researchers. Analysis of the inherent non-linear characteristics of stock market data is a challenging task. A large number of learning algorithms are developed to study market behaviours and enhance the prediction accuracy; they have been optimized using swarm and evolutionary computation such as particle swarm optimization (PSO); its global optimization ability with continuous data has been exploited in financial domains. Limitations in the existing approaches and potential future research directions for enhancing PSO-based stock market prediction are discussed. This article aims at balancing the economics and computational intelligence aspects; it also analyzes the superiority of PSO for stock portfolio optimization, stock price and trend prediction, and other related stock market aspects along with implications of PSO. © 2020, CIMNE, Barcelona, Spain.",,Commerce; Financial data processing; Financial markets; Forecasting; Global optimization; Intelligent computing; Investments; Learning algorithms; Financial domains; Future research directions; Market behaviours; Nonlinear characteristics; Optimization ability; Portfolio optimization; Prediction accuracy; Stock market prediction; Particle swarm optimization (PSO),"K. Chaudhari; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, 382 481, India; email: 17ftphde21@nirmauni.ac.in",,Springer Science and Business Media B.V.,11343060,,,,English,Arch. Comput. Methods Eng.,Article,Final,,Scopus,2-s2.0-85086704233,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7841311097145081,
Merlec M.M.; Islam M.M.; Lee Y.K.; In H.P.,"Merlec, Mpyana Mwamba (57356107000); Islam, Md. Mainul (57714062600); Lee, Youn Kyu (56241842600); In, Hoh Peter (8980732300)",57356107000; 57714062600; 56241842600; 8980732300,A Consortium Blockchain‐Based Secure and Trusted Electronic Portfolio Management Scheme,2022,Sensors,22,3,1271,,,,15,10.3390/s22031271,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124230946&doi=10.3390%2fs22031271&partnerID=40&md5=e22bda83143f6ba6ba3f2fc771c401c8,"Department of Computer Science and Engineering, Korea University, Seoul, 02841, South Korea; Department of Computer Engineering, Hongik University, Seoul, 04066, South Korea","Merlec M.M., Department of Computer Science and Engineering, Korea University, Seoul, 02841, South Korea; Islam M.M., Department of Computer Science and Engineering, Korea University, Seoul, 02841, South Korea; Lee Y.K., Department of Computer Engineering, Hongik University, Seoul, 04066, South Korea; In H.P., Department of Computer Science and Engineering, Korea University, Seoul, 02841, South Korea","In recent times, electronic portfolios (e‐portfolios) are being increasingly used by students and lifelong learners as digital online multimedia résumés that showcase their skill sets and achievements. E‐portfolios require secure, reliable, and privacy‐preserving credential issuance and verification mechanisms to prove learning achievements. However, existing systems provide private institution‐wide centralized solutions that primarily rely on trusted third parties to issue and verify credentials. Furthermore, they do not enable learners to own, control, and share their e‐portfolio information across organizations, which increases the risk of forged and fraudulent credentials. Therefore, we propose a consortium blockchain‐based e‐portfolio management scheme that is decentralized, secure, and trustworthy. Smart contracts are leveraged to enable learners to completely own, publish, and manage their e‐portfolios, and also enable potential employers to verify e‐port-folio credentials and artifacts without relying on trusted third parties. Blockchain is used as an immutable distributed ledger that records all transactions and logs for tamper‐proof trusted data provenance, accountability, and traceability. This system guarantees the authenticity and integrity of user credentials and e‐portfolio data. Decentralized identifiers and verifiable credentials are used for user profile identification, authentication, and authorization, whereas verifiable claims are used for e‐portfolio credential proof authentication and verification. We have designed and implemented a prototype of the proposed scheme using a Quorum consortium blockchain network. Based on the evaluations, our solution is feasible, secure, and privacy‐preserving. It offers excellent performance. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Consortium blockchain; Decentralized identifier (DID); E‐portfolio management system; Smart contract; Verifiable credentials (VC),Blockchain; Electronics; Humans; Privacy; Authentication; Distributed ledger; Investments; Learning systems; Students; Block-chain; Consortium blockchain; Decentralised; Decentralized identifier; E-portfolios; Electronic portfolios; E‐portfolio management system; Management systems; Portfolio managements; Verifiable credential; electronics; human; privacy; Smart contract,"H.P. In; Department of Computer Science and Engineering, Korea University, Seoul, 02841, South Korea; email: hoh_in@korea.ac.kr",,MDPI,14248220,,,35162016.0,English,Sensors,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85124230946,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9981686472892761,
Almahdi S.; Yang S.Y.,"Almahdi, Saud (57194597306); Yang, Steve Y. (24802841600)",57194597306; 24802841600,A constrained portfolio trading system using particle swarm algorithm and recurrent reinforcement learning,2019,Expert Systems with Applications,130,,,145.0,156.0,11.0,43,10.1016/j.eswa.2019.04.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064433484&doi=10.1016%2fj.eswa.2019.04.013&partnerID=40&md5=59cdf6d6b51e2111d6a008646f914fc3,"School of Business, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, 07030, NJ, United States","Almahdi S., School of Business, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, 07030, NJ, United States; Yang S.Y., School of Business, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, 07030, NJ, United States","This study extends a recurrent reinforcement portfolio allocation and rebalancing management system with complex portfolio constraints using particle swarm algorithms. In particular, we propose to use a combination of recurrent reinforcement learning (RRL) and particle swarm algorithm (PSO) with Calmar ratio for both asset allocation and constraint optimization. Using S&P100 index stocks, we show such a system with a Calmar ratio based objective function yields a better efficient frontier than the Sharpe ratio and mean-variance based portfolios. By comparing with multiple PSO based long only constrained portfolios, we propose an optimal portfolio trading system that is capable of generating both long and short signals and handling the common portfolio constraints. We further develop an adaptive RRL-PSO portfolio rebalancing decision system with a market condition stop-loss retraining mechanism, and we show that the proposed portfolio trading system outperforms the benchmarks consistently especially under high transaction cost conditions. © 2019",Optimal portfolio rebalancing; Particle swarm optimization; Portfolio constraint; Recurrent reinforcement learning,Commerce; Constrained optimization; Costs; Financial markets; Investments; Learning algorithms; Machine learning; Particle swarm optimization (PSO); Reinforcement learning; Swarm intelligence; Constrained portfolios; Constraint optimizations; Objective functions; Optimal portfolios; Particle swarm algorithm; Portfolio constraints; Rebalancing; Recurrent reinforcement learning; Electronic trading,"S.Y. Yang; School of Business, Stevens Institute of Technology, 1 Castle Point on Hudson, Hoboken, 07030, United States; email: steve.yang@stevens.edu",,Elsevier Ltd,09574174,,ESAPE,,English,Expert Sys Appl,Article,Final,,Scopus,2-s2.0-85064433484,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8136260509490967,
"Wu, X; Chen, HL; Wang, JJ; Troiano, LG; Loia, V; Fujita, H",,,Adaptive stock trading strategies with deep reinforcement learning methods,2020,INFORMATION SCIENCES,,,,,,,107,10.1016/j.ins.2020.05.066,,,,"The increasing complexity and dynamical property in stock markets are key challenges of the financial industry, in which inflexible trading strategies designed by experienced financial practitioners fail to achieve satisfactory performance in all market conditions. To meet this challenge, adaptive stock trading strategies with deep reinforcement learning methods are proposed. For the time-series nature of stock market data, the Gated Recurrent Unit (GRU) is applied to extract informative financial features, which can represent the intrinsic characteristics of the stock market for adaptive trading decisions. Furthermore, with the tailored design of state and action spaces, two trading strategies with reinforcement learning methods are proposed as GDQN (Gated Deep Q-learning trading strategy) and GDPG (Gated Deterministic Policy Gradient trading strategy). To verify the robustness and effectiveness of GDQN and GDPG, they are tested both in the trending and in the volatile stock market from different countries. Experimental results show that the proposed GDQN and GDPG not only outperform the Turtle trading strategy but also achieve more stable returns than a state-of-the-art direct reinforcement learning method, DRL trading strategy, in the volatile stock market. As far as the GDQN and the GDPG are compared, experimental results demonstrate that the GDPG with an actor-critic framework is more stable than the GDQN with a critic-only framework in the ever-evolving stock market. (C) 2020 Elsevier Inc. All rights reserved.",Stock trading strategy; Gated recurrent unit; Deep Q-learning; Deep deterministic policy gradient,,,,,,,,,,,Article,,,,,WoS,J,,,,"Wu, Xing; Chen, Haolei; Wang, Jianjia; Troiano, Luigi; Loia, Vincenzo; Fujita, Hamido",,,,,English,,,,,,PORTFOLIO OPTIMIZATION; GO,"[Wu, Xing; Chen, Haolei; Wang, Jianjia] Shanghai Univ, Sch Comp Engn & Sci, Shanghai, Peoples R China; [Wu, Xing; Wang, Jianjia] Shanghai Univ, Shanghai Inst Adv Commun & Data Sci, Shanghai, Peoples R China; [Troiano, Luigi] Univ Sannio, Dept Engn, I-82100 Benevento, Italy; [Loia, Vincenzo] Univ Salerno, Dept Innovat Syst, I-84084 Fisciano, Italy; [Fujita, Hamido] Ho Chi Minh City Univ Technol HUTECH, Fac Informat Technol, Ho Chi Minh City, Vietnam; [Fujita, Hamido] Univ Granada, Andalusian Res Inst Data Sci & Computat Intellige, Granada, Spain; [Fujita, Hamido] Iwate Prefectural Univ IPU, Fac Software & Informat Sci, Takizawa, Iwate, Japan",Shanghai University; Shanghai University; University of Sannio; University of Salerno; Ho Chi Minh City University of Technology (HUTECH); Vietnam National University Hochiminh City; University of Granada; Iwate Prefectural University,"Fujita, H (corresponding author), Ho Chi Minh City Univ Technol HUTECH, Fac Informat Technol, Ho Chi Minh City, Vietnam.",HFujita-799@acm.org,"Fujita, Hamido/D-6249-2012","Fujita, Hamido/0000-0001-5256-210X; Loia, Vincenzo/0000-0003-4807-8942",National Key R&D Program of China [2019YFE0190500]; State Key Program of National Nature Science Foundation of China [61936001],National Key R&D Program of China; State Key Program of National Nature Science Foundation of China(National Natural Science Foundation of China (NSFC)),This work is supported by the National Key R&D Program of China under Grant 2019YFE0190500 and by the State Key Program of National Nature Science Foundation of China (Grant No. 61936001).,"Amodei D, 2016, PR MACH LEARN RES, V48; Bao W, 2017, PLOS ONE, V12, DOI 10.1371/journal.pone.0180944; Carapuço J, 2018, APPL SOFT COMPUT, V73, P783, DOI 10.1016/j.asoc.2018.09.017; Che ZP, 2018, SCI REP-UK, V8, DOI 10.1038/s41598-018-24271-9; Chinchali S, 2018, AAAI CONF ARTIF INTE, P766; Deng Y, 2017, IEEE T NEUR NET LEAR, V28, P653, DOI 10.1109/TNNLS.2016.2522401; Deng Y, 2015, IEEE T IND INFORM, V11, P467, DOI 10.1109/TII.2015.2404299; Fischer T, 2018, EUR J OPER RES, V270, P654, DOI 10.1016/j.ejor.2017.11.054; He KM, 2016, PROC CVPR IEEE, P770, DOI 10.1109/CVPR.2016.90; Huang BM, 2019, ENTERP INF SYST-UK, V13, P132, DOI 10.1080/17517575.2018.1493145; Huynh H.D., 2017, P 8 INT S INF COMM T, P57, DOI DOI 10.1145/3155133.3155202; Kumar A, 2016, PR MACH LEARN RES, V48; Lample G, 2017, AAAI CONF ARTIF INTE, P2140; Li SH, 2019, AAAI CONF ARTIF INTE, P4213; Lowe R, 2017, ADV NEUR IN, V30; Luo BA, 2017, IEEE T CYBERNETICS, V47, P3341, DOI 10.1109/TCYB.2016.2623859; Martinez C, 2020, KNOWL-BASED SYST, V190, DOI 10.1016/j.knosys.2019.105290; Mohan V, 2017, IEEE T SUSTAIN ENERG, V8, P219, DOI 10.1109/TSTE.2016.2593713; Moody J.E., 1998, KDD, P279; Pei MQ, 2017, KNOWL-BASED SYST, V121, P163, DOI 10.1016/j.knosys.2017.01.023; Qiu MY, 2016, CHAOS SOLITON FRACT, V85, P1, DOI 10.1016/j.chaos.2016.01.004; Pinto DSS, 2016, IEEE SYS MAN CYBERN, P4609, DOI 10.1109/SMC.2016.7844958; Silver D, 2018, SCIENCE, V362, P1140, DOI 10.1126/science.aar6404; Silver D, 2017, NATURE, V550, P354, DOI 10.1038/nature24270; Sun J, 2020, INFORM FUSION, V54, P128, DOI 10.1016/j.inffus.2019.07.006; Sun J, 2017, KNOWL-BASED SYST, V120, P4, DOI 10.1016/j.knosys.2016.12.019; Troiano L, 2018, IEEE T IND INFORM, V14, P3226, DOI 10.1109/TII.2018.2811377; van Hasselt H, 2016, AAAI CONF ARTIF INTE, P2094; Vezeris D, 2019, J RISK FINANC MANAG, V12, DOI 10.3390/jrfm12020096; Wang HZ, 2019, INFORM SCIENCES, V498, P106, DOI 10.1016/j.ins.2019.05.012; Wolf P, 2017, IEEE INT VEH SYM, P244, DOI 10.1109/IVS.2017.7995727; Wolter M., 2018, ADV NEURAL INFORMA T, P10536; Wu X, 2020, KNOWL-BASED SYST, V196, DOI 10.1016/j.knosys.2019.105201; Wu X, 2020, INFORM SCIENCES, V508, P22, DOI 10.1016/j.ins.2019.08.059; Xu T., 2019, ADV NEURAL INFORM PR, V32, P10634; Yevseyeva I, 2019, INFORM SCIENCES, V475, P29, DOI 10.1016/j.ins.2018.09.049; Young T, 2018, IEEE COMPUT INTELL M, V13, P55, DOI 10.1109/MCI.2018.2840738; Yu ShuiLing, 2018, Recent Developments in Data Science and Business Analytics, P265; Yuan YL, 2019, KNOWL-BASED SYST, V175, P107, DOI 10.1016/j.knosys.2019.03.018; Zheng HL, 2017, IEEE I CONF COMP VIS, P5219, DOI 10.1109/ICCV.2017.557; Zhong X, 2017, EXPERT SYST APPL, V67, P126, DOI 10.1016/j.eswa.2016.09.027; Zhu WT, 2016, AAAI CONF ARTIF INTE, P3697",42.0,110.0,13.0,129.0,ELSEVIER SCIENCE INC,NEW YORK,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA",0020-0255,1872-6291,,INFORM SCIENCES,Inf. Sci.,OCT,538,,,,,,142.0,158.0,,http://dx.doi.org/10.1016/j.ins.2020.05.066,,,17.0,"Computer Science, Information Systems",Science Citation Index Expanded (SCI-EXPANDED),Computer Science,PH4XV,,,,,2024-10-28,WOS:000600418400007,,0,0.7372123003005981,
Li Y.; Forsyth P.A.,"Li, Yuying (12775366200); Forsyth, Peter A. (35480792400)",12775366200; 35480792400,A data-driven neural network approach to optimal asset allocation for target based defined contribution pension plans,2019,Insurance: Mathematics and Economics,86,,,189.0,204.0,15.0,15,10.1016/j.insmatheco.2019.03.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063082664&doi=10.1016%2fj.insmatheco.2019.03.001&partnerID=40&md5=f11089343b533f9c8a828cc43b174eec,"David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, N2L 3G1, ON, Canada","Li Y., David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, N2L 3G1, ON, Canada; Forsyth P.A., David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, N2L 3G1, ON, Canada","A data-driven Neural Network (NN) optimization framework is proposed to determine optimal asset allocation during the accumulation phase of a defined contribution pension scheme. In contrast to parametric model based solutions computed by a partial differential equation approach, the proposed computational framework can scale to high dimensional multi-asset problems. More importantly, the proposed approach can determine the optimal NN control directly from market returns, without assuming a particular parametric model for the return process. We validate the proposed NN learning solution by comparing the NN control to the optimal control determined by solution of the Hamilton–Jacobi–Bellman (HJB) equation. The HJB equation solution is based on a double exponential jump model calibrated to the historical market data. The NN control achieves nearly optimal performance. An alternative data-driven approach (without the need of a parametric model) is based on using the historic bootstrap resampling data sets. Robustness is checked by training with a blocksize different from the test data. In both two and three asset cases, we compare performance of the NN controls directly learned from the market return sample paths and demonstrate that they always significantly outperform constant proportion strategies. © 2019 Elsevier B.V.",Asset allocation; Data-driven; Neural network,,"P.A. Forsyth; David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, N2L 3G1, Canada; email: paforsyt@uwaterloo.ca",,Elsevier B.V.,01676687,,IMECD,,English,Insur. Math. Econ.,Article,Final,,Scopus,2-s2.0-85063082664,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9983720183372498,
Lucarelli G.; Borrotti M.,"Lucarelli, Giorgio (57208838978); Borrotti, Matteo (35730783800)",57208838978; 35730783800,A deep Q-learning portfolio management framework for the cryptocurrency market,2020,Neural Computing and Applications,32,23,,17229.0,17244.0,15.0,40,10.1007/s00521-020-05359-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091144928&doi=10.1007%2fs00521-020-05359-8&partnerID=40&md5=7e5a2cc8394083d68a15b052a47c4ea8,"Department of Economics, Management and Statistics, University of Milano-Bicocca, Piazza dell’Ateneo Nuovo, 1, Milan, 20126, Italy; Institute for Applied Mathematics and Information Technologies, National Research Council, Via Alfonso Corti, 12, Milan, 20133, Italy","Lucarelli G., Department of Economics, Management and Statistics, University of Milano-Bicocca, Piazza dell’Ateneo Nuovo, 1, Milan, 20126, Italy; Borrotti M., Department of Economics, Management and Statistics, University of Milano-Bicocca, Piazza dell’Ateneo Nuovo, 1, Milan, 20126, Italy, Institute for Applied Mathematics and Information Technologies, National Research Council, Via Alfonso Corti, 12, Milan, 20133, Italy","Deep reinforcement learning is gaining popularity in many different fields. An interesting sector is related to the definition of dynamic decision-making systems. A possible example is dynamic portfolio optimization, where an agent has to continuously reallocate an amount of fund into a number of different financial assets with the final goal of maximizing return and minimizing risk. In this work, a novel deep Q-learning portfolio management framework is proposed. The framework is composed by two elements: a set of local agents that learn assets behaviours and a global agent that describes the global reward function. The framework is tested on a crypto portfolio composed by four cryptocurrencies. Based on our results, the deep reinforcement portfolio management framework has proven to be a promising approach for dynamic portfolio optimization. © 2020, The Author(s).",Deep reinforcement learning; Dueling double deep Q-networks; Portfolio management; Q-learning,Cryptocurrency; Decision making; Financial data processing; Investments; Reinforcement learning; Dynamic decision making; Dynamic portfolios; Financial assets; Portfolio managements; Q-learning; Reward function; Deep learning,"M. Borrotti; Institute for Applied Mathematics and Information Technologies, National Research Council, Milan, Via Alfonso Corti, 12, 20133, Italy; email: matteo.borrotti@unimib.it",,Springer Science and Business Media Deutschland GmbH,09410643,,,,English,Neural Comput. Appl.,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85091144928,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9292968511581421,
Paskaramoorthy A.B.; Gebbie T.J.; van Zyl T.L.,"Paskaramoorthy, Andrew B. (57219351450); Gebbie, Tim J. (57204005352); van Zyl, Terence L. (26532116600)",57219351450; 57204005352; 26532116600,A framework for online investment decisions,2020,Investment Analysts Journal,49,3,,215.0,231.0,16.0,10,10.1080/10293523.2020.1806460,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092333985&doi=10.1080%2f10293523.2020.1806460&partnerID=40&md5=68d4be3d27a5987211ce943f61410a07,"Computer Science and Applied Maths, University of the Witwatersrand, Johannesburg, South Africa; Department of Statistical Sciences, University of Cape Town, Cape Town, South Africa; Institute for Intelligent Systems, University of Johannesburg, Johannesburg, South Africa","Paskaramoorthy A.B., Computer Science and Applied Maths, University of the Witwatersrand, Johannesburg, South Africa; Gebbie T.J., Department of Statistical Sciences, University of Cape Town, Cape Town, South Africa; van Zyl T.L., Institute for Intelligent Systems, University of Johannesburg, Johannesburg, South Africa","The artificial segmentation of the investment management process into silos of human operators can restrict silos from collectively and adaptively pursuing a unified investment goal. In this article, we argue that the investment process can be accelerated and be made more cohesive by replacing batch processing for component tasks of the investment process with online processing. We propose an integrated and online framework for investment workflows, where components produce outputs that are automatically and sequentially updated as new data arrives. The workflow can be further enhanced to refine signal generation and asset class evolution and definitions. Our results demonstrate that we use this framework in conjunction with resampling methods to optimise component decisions with direct reference to investment objectives while making clear the extent of backtest overfitting. We consider such an online update framework to be a crucial step towards developing intelligent portfolio selection algorithms that integrate financial theory, investor views, and data analysis with process-level learning. © 2020 Investment Analysts Society of South Africa.",machine learning; online adaptive learning; portfolio management,,"A.B. Paskaramoorthy; Computer Science and Applied Maths, University of the Witwatersrand, Johannesburg, South Africa; email: andrew.paskaramoorthy@wits.ac.za",,Taylor and Francis Ltd.,10293523,,,,English,Investm. Analysts J.,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85092333985,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9977168440818787,
Dutta A.; Kumar S.; Basu M.,"Dutta, Aniruddha (41661197800); Kumar, Saket (57219694358); Basu, Meheli (57217148109)",41661197800; 57219694358; 57217148109,A Gated Recurrent Unit Approach to Bitcoin Price Prediction,2020,Journal of Risk and Financial Management,13,2,23,,,,97,10.3390/jrfm13020023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165770998&doi=10.3390%2fjrfm13020023&partnerID=40&md5=9d6759aac473c7e44db47b4a4c8d66f2,"Haas School of Business, University of California, Berkeley, 94720, CA, United States; Reserve Bank of India, Maharashtra, Mumbai, 400001, India; Joseph M. Katz Graduate School of Business, University of Pittsburgh, Pittsburgh, 15260, PA, United States","Dutta A., Haas School of Business, University of California, Berkeley, 94720, CA, United States; Kumar S., Haas School of Business, University of California, Berkeley, 94720, CA, United States, Reserve Bank of India, Maharashtra, Mumbai, 400001, India; Basu M., Joseph M. Katz Graduate School of Business, University of Pittsburgh, Pittsburgh, 15260, PA, United States","In today’s era of big data, deep learning and artificial intelligence have formed the backbone for cryptocurrency portfolio optimization. Researchers have investigated various state of the art machine learning models to predict Bitcoin price and volatility. Machine learning models like recurrent neural network (RNN) and long short-term memory (LSTM) have been shown to perform better than traditional time series models in cryptocurrency price prediction. However, very few studies have applied sequence models with robust feature engineering to predict future pricing. In this study, we investigate a framework with a set of advanced machine learning forecasting methods with a fixed set of exogenous and endogenous factors to predict daily Bitcoin prices. We study and compare different approaches using the root mean squared error (RMSE). Experimental results show that the gated recurring unit (GRU) model with recurrent dropout performs better than popular existing models. We also show that simple trading strategies, when implemented with our proposed GRU model and with proper learning, can lead to financial gain. © 2020 by the authors.",artificial intelligence; Bitcoin; cryptocurrency; deep learning; neural networks; predictive model; risk management; time series analysis; trading strategy,,"A. Dutta; Haas School of Business, University of California, Berkeley, 94720, United States; email: aniruddha_dutta@berkeley.edu",,Multidisciplinary Digital Publishing Institute (MDPI),19118074,,,,English,J. Risk. Financ. Manag.,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85165770998,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9984132647514343,
Kara M.; Ulucan A.; Atici K.B.,"Kara, Mahmut (57208013501); Ulucan, Aydin (34574047200); Atici, Kazim Baris (54894460400)",57208013501; 34574047200; 54894460400,A hybrid approach for generating investor views in Black–Litterman model,2019,Expert Systems with Applications,128,,,256.0,270.0,14.0,20,10.1016/j.eswa.2019.03.041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063588781&doi=10.1016%2fj.eswa.2019.03.041&partnerID=40&md5=60aef6fd165f4beba8caf9003b3a74ae,"Ministry of Treasury and Finance, Ankara, Turkey; Department of Business Administration, Hacettepe University, Ankara, Turkey","Kara M., Ministry of Treasury and Finance, Ankara, Turkey; Ulucan A., Department of Business Administration, Hacettepe University, Ankara, Turkey; Atici K.B., Department of Business Administration, Hacettepe University, Ankara, Turkey","One of the main contributions of Black–Litterman asset allocation modeling is bringing out the idea of updating portfolios relying on the investor views. The incorporation of such views may inject subjectivity to the modeling phase. There is a recent literature on generating the views with financial forecasting methods, which employ either econometric or learning algorithms. In this research, we aim to propose a hybrid approach to the stream, in which GARCH modeling is used for predicting indicators for the stocks, followed by translating the indicator forecasts to return forecasts through Support Vector Regression. The obtained return forecasts are then fed into Black–Litterman modeling as investor views vector in order to generate portfolios with rolling data. The proposed model is tested in two markets: an emerging market (BIST-30 index of Istanbul Stock Exchange) and a developed market (Dow Jones Index of US Stock Market). In general, the results reveal better portfolio returns and Sharpe ratios than the index return for different holding periods, as well as better portfolio returns than randomly generated portfolios. We further show that the indicators can be accounted relying on the state or the market (non-trending or trending). © 2019 Elsevier Ltd",Black–Litterman model; GARCH modeling; Portfolio optimization; Support vector regression,Commerce; Financial data processing; Forecasting; Investments; Asset allocation; Emerging markets; Financial forecasting; GARCH models; Hybrid approach; Istanbul stock exchange; Portfolio optimization; Support vector regression (SVR); Financial markets,"K.B. Atici; Department of Business Administration, Hacettepe University, Ankara, Turkey; email: kba@hacettepe.edu.tr",,Elsevier Ltd,09574174,,ESAPE,,English,Expert Sys Appl,Article,Final,,Scopus,2-s2.0-85063588781,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9983682632446289,
