"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Bouteska A.; Kabir Hassan M.; Gider Z.; Bataineh H.","Bouteska, Ahmed (57201462565); Kabir Hassan, M. (58076530500); Gider, Zeynullah (57893367300); Bataineh, Hassan (58186444600)","57201462565; 58076530500; 57893367300; 58186444600","The role of investor sentiment and market belief in forecasting V-shaped disposition effect: Evidence from a Bayesian learning process with DSSW model","2024","North American Journal of Economics and Finance","71","","102084","","","","0","10.1016/j.najef.2024.102084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184863079&doi=10.1016%2fj.najef.2024.102084&partnerID=40&md5=2d0929911e44fed62f68f89841ea5e7a","Tunis EL Manar University, Faculty of Economics and Management of Tunis, Tunisia; Department of Economics and Finance, University of New Orleans, United States; Department of Economics and Finance, University of New Orleans, New Orleans, 70148, LA, United States","Bouteska A., Tunis EL Manar University, Faculty of Economics and Management of Tunis, Tunisia; Kabir Hassan M., Department of Economics and Finance, University of New Orleans, United States; Gider Z., Department of Economics and Finance, University of New Orleans, New Orleans, 70148, LA, United States; Bataineh H., Department of Economics and Finance, University of New Orleans, New Orleans, 70148, LA, United States","By using the trading data and corporate financial data from 2010 to 2022 in Korean stock market, we combine the Bayesian learning process with the DSSW model to investigate the size and specific manifestations of the disposition effect when market belief is different from investors' irrational beliefs. We find that there is a significant negative correlation between investor sentiment and the investor disposition effect. Moreover, affected by sentiment, the performance of investor disposition effect in the bull market and the bear market is quite opposite. The conclusion of this paper has certain theoretical and practical significance for understanding the disposition effect of investors, optimizing investors' selling decisions, and strengthening the construction of a basic system of the capital market. © 2024 Elsevier Inc.","Asset pricing; Irrational expectation; Speculative trading","","A. Bouteska; Tunis EL Manar University, Faculty of Economics and Management of Tunis, Tunisia; email: ahmed.bouteska@gmail.com","","Elsevier Inc.","10629408","","","","English","North Am. J. Econ. Financ.","Article","Final","","Scopus","2-s2.0-85184863079"
"Sun R.; Stefanidis A.; Jiang Z.; Su J.","Sun, Ruoyu (57223246970); Stefanidis, Angelos (57205506038); Jiang, Zhengyong (57217047896); Su, Jionglong (57045140900)","57223246970; 57205506038; 57217047896; 57045140900","Combining transformer based deep reinforcement learning with Black-Litterman model for portfolio optimization","2024","Neural Computing and Applications","36","32","","20111","20146","35","0","10.1007/s00521-024-09805-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201002448&doi=10.1007%2fs00521-024-09805-9&partnerID=40&md5=de6e82dd26cfb661a32563084190d39c","Department of Financial and Actuarial Mathematics, School of Mathematics and Physics, Xi’an Jiaotong-Liverpool University, Suzhou, 215123, China; School of AI and Advanced Computing, XJTLU Entrepreneur College (Taicang), Xi’an Jiaotong-Liverpool University, Suzhou, 215123, China","Sun R., Department of Financial and Actuarial Mathematics, School of Mathematics and Physics, Xi’an Jiaotong-Liverpool University, Suzhou, 215123, China; Stefanidis A., School of AI and Advanced Computing, XJTLU Entrepreneur College (Taicang), Xi’an Jiaotong-Liverpool University, Suzhou, 215123, China; Jiang Z., School of AI and Advanced Computing, XJTLU Entrepreneur College (Taicang), Xi’an Jiaotong-Liverpool University, Suzhou, 215123, China; Su J., School of AI and Advanced Computing, XJTLU Entrepreneur College (Taicang), Xi’an Jiaotong-Liverpool University, Suzhou, 215123, China","As a model-free algorithm, deep reinforcement learning (DRL) agent learns and makes decisions by interacting with the environment in an unsupervised way. In recent years, DRL algorithms have been widely applied by scholars for portfolio optimization in consecutive trading periods, since the DRL agent can dynamically adapt to market changes and does not rely on the specification of the joint dynamics across the assets. However, typical DRL agents for portfolio optimization cannot learn a policy that is aware of the dynamic correlation between portfolio asset returns. Since the dynamic correlations among portfolio assets are crucial in optimizing the portfolio, the lack of such knowledge makes it difficult for the DRL agent to maximize the return per unit of risk, especially when the target market permits short selling (i.e., the US stock market). In this research, we propose a hybrid portfolio optimization model combining the DRL agent and the Black-Litterman (BL) model to enable the DRL agent to learn the dynamic correlation between the portfolio asset returns and implement an efficacious long/short strategy based on the correlation. Essentially, the DRL agent is trained to learn the policy to apply the BL model to determine the target portfolio weights. In this model, we formulate a specific objective function based on the environment’s reward function, which considers the return, risk, and transaction scale of the portfolio. Our DRL agent is trained by propagating the objective function’s gradient to the policy function of our DRL agent. To test our DRL agent, we construct the portfolio based on all the Dow Jones Industrial Average constitute stocks. Empirical results of the experiments conducted on real-world United States stock market data demonstrate that our DRL agent significantly outperforms various comparison portfolio choice strategies and alternative DRL frameworks by at least 42% in terms of accumulated return. In terms of the return per unit of risk, our DRL agent significantly outperforms various comparative portfolio choice strategies and alternative strategies based on other machine learning frameworks. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.","Black-Litterman model; Deep reinforcement learning; Portfolio optimization; Transformer neural network","Commerce; Deep learning; Electronic trading; Financial markets; Learning systems; Black-litterman model; Deep reinforcement learning; Dynamic correlation; Learn+; Neural-networks; Per unit; Portfolio optimization; Reinforcement learning agent; Reinforcement learnings; Transformer neural network; Reinforcement learning","Z. Jiang; School of AI and Advanced Computing, XJTLU Entrepreneur College (Taicang), Xi’an Jiaotong-Liverpool University, Suzhou, 215123, China; email: Zhengyong.Jiang02@xjtlu.edu.cn; J. Su; School of AI and Advanced Computing, XJTLU Entrepreneur College (Taicang), Xi’an Jiaotong-Liverpool University, Suzhou, 215123, China; email: Jionglong.Su@xjtlu.edu.cn","","Springer Science and Business Media Deutschland GmbH","09410643","","","","English","Neural Comput. Appl.","Article","Final","","Scopus","2-s2.0-85201002448"
"Shahbab R.M.; Zaman K.","Shahbab, R.M. (59219847300); Zaman, Kais (36639048300)","59219847300; 36639048300","A new approach to robustness-based optimization using uncertainty set constructed through machine learning","2024","Structural and Multidisciplinary Optimization","67","7","125","","","","0","10.1007/s00158-024-03825-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198659604&doi=10.1007%2fs00158-024-03825-8&partnerID=40&md5=706f16877907aa9896d0d2dac0ba6be4","Department of Industrial and Production Engineering, Bangladesh University of Engineering and Technology, Dhaka, 1000, Bangladesh","Shahbab R.M., Department of Industrial and Production Engineering, Bangladesh University of Engineering and Technology, Dhaka, 1000, Bangladesh; Zaman K., Department of Industrial and Production Engineering, Bangladesh University of Engineering and Technology, Dhaka, 1000, Bangladesh","This paper proposes three machine learning-based uncertainty set construction methods and a novel uncertainty quantification method for robustness-based optimization. The proposed methods are capable of capturing all possible types of uncertainties in the form of sparse point and/or interval data and efficiently quantify uncertainty in robustness-based optimization. In contrast to traditional approaches that rely on expert opinion or assumptions to construct uncertainty sets, our methods leverage machine learning algorithms to extract uncertainty patterns from historical data and effectively capture epistemic uncertainty in input variables. Another challenge in existing robustness-based optimization under epistemic uncertainty is the high computational cost associated with the iterative method of epistemic analysis. Moreover, these methods struggle with uncertainty sets containing a mixture of point and interval data. To overcome these limitations, we propose a unified probabilistic approach that utilizes maximum likelihood estimation to efficiently quantify uncertainty, regardless of the data form. Using the proposed methods, we introduce new approaches for robustness-based portfolio optimization (RPO) and multidisciplinary design optimization (RO/MDO), namely the worst-case maximum likelihood estimation (WMLE)-based single-loop RPO and WMLE-based RO/MDO approach, respectively. Illustrated through applications to minimum variance portfolios, our methods consistently demonstrate significant improvements over established formulations in terms of both return and risk. Additionally, when applied to a complex multidisciplinary engineering design, the WMLE-based RO/MDO approach showcases a computationally efficient solving technique, yielding more realistic results than the existing methodologies. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.","Epistemic uncertainty; Machine learning; Maximum likelihood estimation; Multidisciplinary design optimization; Portfolio optimization; Robust optimization","Design aids; Financial data processing; Iterative methods; Learning algorithms; Machine learning; Optimization; Uncertainty analysis; Epistemic uncertainties; Interval data; Machine-learning; Maximum-likelihood estimation; Multi-disciplinary design optimisation; New approaches; Optimisations; Portfolio optimization; Robust optimization; Uncertainty; Maximum likelihood estimation","K. Zaman; Department of Industrial and Production Engineering, Bangladesh University of Engineering and Technology, Dhaka, 1000, Bangladesh; email: kaiszaman@yahoo.com","","Springer Science and Business Media Deutschland GmbH","1615147X","","SMOTB","","English","Struct. Mutltidiscip. Opt.","Article","Final","","Scopus","2-s2.0-85198659604"
"Lv M.; Wang J.; Wang S.; Gao J.; Guo H.","Lv, Mengzheng (57225217008); Wang, Jianzhou (56380147600); Wang, Shuai (57251320900); Gao, Jialu (57763256000); Guo, Honggang (57223978577)","57225217008; 56380147600; 57251320900; 57763256000; 57223978577","Developing a hybrid system for stock selection and portfolio optimization with many-objective optimization based on deep learning and improved NSGA-III","2024","Information Sciences","670","","120549","","","","3","10.1016/j.ins.2024.120549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190354123&doi=10.1016%2fj.ins.2024.120549&partnerID=40&md5=0c26022cdcb25f47c017b2a5084c9b0d","School of Statistics, Dongbei University of Finance and Economics, Dalian, 116025, China; Institute of Systems Engineering, Macau University of Science and Technology, Macau, 999078, China","Lv M., School of Statistics, Dongbei University of Finance and Economics, Dalian, 116025, China; Wang J., School of Statistics, Dongbei University of Finance and Economics, Dalian, 116025, China; Wang S., School of Statistics, Dongbei University of Finance and Economics, Dalian, 116025, China; Gao J., Institute of Systems Engineering, Macau University of Science and Technology, Macau, 999078, China; Guo H., School of Statistics, Dongbei University of Finance and Economics, Dalian, 116025, China","Portfolio management is a critical aspect of investment strategies, with the goal to balance the low-risk and high-return investments. Despite this, existing portfolios frequently overlook the integration of stock selection outcomes and underutilize data from listed companies, leading to suboptimal portfolio performance. Addressing these shortcomings, this paper introduces a hybrid system involving stock selection and portfolio optimization. In stock selection, the system employs a combination of convolutional neural network and bi-directional recurrent neural network to predict stock trends. This approach enables the identification of stocks likely to appreciate in value, setting the stage for their inclusion in the subsequent optimization process. For portfolio optimization, the study formulates a five-objective optimization problem that incorporates mean, variance, skewness, kurtosis, and distance-to-default as key considerations. To solve the many-objective constrained optimization problem, an advanced strategy employing a static penalty function and an improved Non-dominated Sorting Genetic Algorithm III (NSGA-III) based on tent chaotic mapping is utilized. The efficacy of the proposed hybrid system is rigorously tested through three sets of ablation experiments alongside two discussions focused on its robustness and computational efficiency. The findings from these investigations reveal that the hybrid system outperforms traditional approaches, reducing risks and improving returns for investors. © 2024 Elsevier Inc.","Deep learning; Improved optimization algorithm; Many-objective constrained optimization problem; Portfolio optimization; Stock selection","Computational efficiency; Constrained optimization; Electronic trading; Financial markets; Genetic algorithms; Higher order statistics; Investments; Recurrent neural networks; Constrained optimi-zation problems; Deep learning; Improved optimization algorithm; Many-objective constrained optimization problem; Many-objective optimizations; Non-dominated sorting genetic algorithms; Optimization algorithms; Portfolio optimization; Stock portfolio; Stock selections; Hybrid systems","J. Wang; School of Statistics, Dongbei University of Finance and Economics, Dalian, 116025, China; email: wjz@lzu.edu.cn","","Elsevier Inc.","00200255","","ISIJB","","English","Inf Sci","Article","Final","","Scopus","2-s2.0-85190354123"
"Guo Y.; Sun B.; Bai J.; Ye J.; Chu X.","Guo, Yuqi (57895850000); Sun, Bingzhen (7401984470); Bai, Juncheng (57210154125); Ye, Jin (57218141921); Chu, Xiaoli (57201549474)","57895850000; 7401984470; 57210154125; 57218141921; 57201549474","A new portfolio approach integrating three-way decision and Encoder–Decoder network","2024","Expert Systems with Applications","258","","125233","","","","0","10.1016/j.eswa.2024.125233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202556626&doi=10.1016%2fj.eswa.2024.125233&partnerID=40&md5=2469496093f7f273a8dc714662ef634d","School of Economics and Management, Xidian University, Xi'an, 710071, China; State Key Laboratory of Dampness Syndrome of Chinese Medicine, The 2nd Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangdong, Guangzhou, 510120, China","Guo Y., School of Economics and Management, Xidian University, Xi'an, 710071, China; Sun B., School of Economics and Management, Xidian University, Xi'an, 710071, China; Bai J., School of Economics and Management, Xidian University, Xi'an, 710071, China; Ye J., School of Economics and Management, Xidian University, Xi'an, 710071, China; Chu X., State Key Laboratory of Dampness Syndrome of Chinese Medicine, The 2nd Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangdong, Guangzhou, 510120, China","In the stock market, it can be challenging to predict stock trends and identify stocks with investment potential due to uncertainty and risk. Accurate predictive models and reliable asset preselection methods are essential for portfolio management. This paper proposes an integration of the deep learning model, the three-way decision (3WD) theory, and the Mean-Variance (MV) method for asset preselection and optimal asset allocation. In the initial stage, an attention-based Encoder–Decoder model is used to predict asset returns and calculate volatility. It outperforms other benchmark models regarding relative error, absolute error, and directional accuracy. The subsequent stage involves selecting stocks based on expected returns and volatility characteristics. The 3WD theory is then used to identify the delayed decision set for implementing additional investment strategies to hedge portfolio risk and enhance returns. Finally, the MV model is employed for investment portfolio optimization. The proposed model is validated using a substantial dataset from the A-share market's SSE 50 Index from January 2010 to December 2022. Results indicate that the proposed model outperforms benchmark models in terms of daily average returns, annualized Information ratio, Sortino ratio, and other aspects under certain trading costs. However, further exploration is required to establish a mechanism that limits the quantity of preselected assets to ensure its broad applicability. © 2024 Elsevier Ltd","Attention-based encoder–decoder networks; Mean–variance model; Portfolio management; Three-way decision","Attention-based encoder–decoder network; Benchmark models; Encoder-decoder; Learning models; Mean variance model; Portfolio managements; Predictive models; Preselection methods; Three-way decision; Uncertainty and risks; Decoding","J. Bai; School of Economics and Management, Xidian University, Xi'an, 710071, China; email: baijc@stu.xidian.edu.cn","","Elsevier Ltd","09574174","","ESAPE","","English","Expert Sys Appl","Article","Final","","Scopus","2-s2.0-85202556626"
"Cortés D.G.; Onieva E.; Pastor I.; Trinchera L.; Wu J.","Cortés, Daniel González (57912404600); Onieva, Enrique (27267790700); Pastor, Iker (59198109200); Trinchera, Laura (55317543000); Wu, Jian (56093827200)","57912404600; 27267790700; 59198109200; 55317543000; 56093827200","Portfolio construction using explainable reinforcement learning","2024","Expert Systems","41","11","e13667","","","","0","10.1111/exsy.13667","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197241474&doi=10.1111%2fexsy.13667&partnerID=40&md5=e1b9dd9a388253010b3a553ee3c14459","NEOMA Business School, Mont Saint Aignan, France; Faculty of Engineering, University of Deusto, Bilbao, Spain","Cortés D.G., NEOMA Business School, Mont Saint Aignan, France; Onieva E., Faculty of Engineering, University of Deusto, Bilbao, Spain; Pastor I., Faculty of Engineering, University of Deusto, Bilbao, Spain; Trinchera L., NEOMA Business School, Mont Saint Aignan, France; Wu J., NEOMA Business School, Mont Saint Aignan, France","While machine learning's role in financial trading has advanced considerably, algorithmic transparency and explainability challenges still exist. This research enriches prior studies focused on high-frequency financial data prediction by introducing an explainable reinforcement learning model for portfolio management. This model transcends basic asset prediction, formulating concrete, actionable trading strategies. The methodology is applied in a custom trading environment mimicking the CAC-40 index's financial conditions, allowing the model to adapt dynamically to market changes based on iterative learning from historical data. Empirical findings reveal that the model outperforms an equally weighted portfolio in out-of-sample tests. The study offers a dual contribution: it elevates algorithmic planning while significantly boosting transparency and interpretability in financial machine learning. This approach tackles the enduring ‘black-box’ issue and provides a holistic, transparent framework for managing investment portfolios. © 2024 The Author(s). Expert Systems published by John Wiley & Sons Ltd.","algorithmic transparency; explainable reinforcement learning; finance; portfolio management","Adaptive boosting; Commerce; Electronic trading; Investments; Iterative methods; Learning systems; Transparency; Algorithmic transparency; Algorithmics; Data prediction; Explainable reinforcement learning; Financial data; Financial trading; High frequency HF; Machine-learning; Portfolio managements; Reinforcement learnings; Reinforcement learning","D.G. Cortés; NEOMA Business School, Mont Saint Aignan Cedex, Rue du Maréchal Juin, 76825, France; email: daniel-alejandro.gonzalez-cortes.20@neoma-bs.com","","John Wiley and Sons Inc","02664720","","EXSYE","","English","Expert Syst","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85197241474"
"Saidane M.","Saidane, Mohamed (14054894800)","14054894800","Risk Assessment in Cryptocurrency Portfolios: a Composite Hidden Markov Factor Analysis Framework","2024","Statistics, Optimization and Information Computing","12","2","","463","487","24","2","10.19139/soic-2310-5070-1837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186945322&doi=10.19139%2fsoic-2310-5070-1837&partnerID=40&md5=a9c5614a7a6650c40f4e861a8c3ed036","Department of Management Information Systems and Production Management, College of Business and Economics, Qassim University, Saudi Arabia","Saidane M., Department of Management Information Systems and Production Management, College of Business and Economics, Qassim University, Saudi Arabia","In this paper, we deal with the estimation of two widely used risk measures such as Value-at-Risk (VaR) and Expected Shortfall (ES) in a cryptocurrency context. To face the presence of regime switching in the cryptocurrency volatilities and the dynamic interconnection between them, we propose a Monte Carlo-based approach using heteroskedastic factor analysis and hidden Markov models (HMM) combined with a structured variational Expectation-Maximization (EM) learning approach. This composite approach allows the construction of a diversified portfolio and determines an optimal allocation strategy making it possible to minimize the conditional risk of the portfolio and maximize the return. The out-of-sample prediction experiments show that the composite factorial HMM approach performs better, in terms of prediction accuracy, than some other baseline methods presented in the literature. Moreover, our results show that the proposed methodology provides the best performing crypto-asset allocation strategies and it is also clearly superior to the existing methods in VaR and ES predictions. © 2024 International Academic Press. All Rights Reserved.","Crypto asset allocation; Dynamic forecasting; Factor analysis; HMM; VaR-ES; Variational-EM","","M. Saidane; Department of Management Information Systems and Production Management, College of Business and Economics, Qassim University, Saudi Arabia; email: M.Saidane@qu.edu.sa","","International Academic Press","2311004X","","","","English","Stat. Optim. Inf. Comput.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85186945322"
"Guzella M.; Buchbinder F.; Santana V.","Guzella, Marcelo (57328558500); Buchbinder, Felipe (57285570800); Santana, Verônica (57095985400)","57328558500; 57285570800; 57095985400","Venture capital investment in Latin America: The role of experience, distances, and network features","2024","Emerging Markets Review","60","","101145","","","","1","10.1016/j.ememar.2024.101145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192096959&doi=10.1016%2fj.ememar.2024.101145&partnerID=40&md5=87d9e3b649fc04b6ff31b474fb4623b7","FGV EBAPE, Brazilian School of Public and Business Administration at Fundação Getulio Vargas, 30 J. Orlando Dantas St., Rio de Janeiro, 22231-010, Brazil; CODEMGE, Development Company of Minas Gerais, 4001 Papa João Paulo II Rd., Belo Horizonte, 31630-901, Brazil; BNDES, Brazilian Development Bank, 100 República do Chile Av., Rio de Janeiro, 20031-917, Brazil; FECAP, Fundação Escola de Comércio Álvares Penteado, 532 Liberdade Av., São Paulo, 01502-001, Brazil","Guzella M., FGV EBAPE, Brazilian School of Public and Business Administration at Fundação Getulio Vargas, 30 J. Orlando Dantas St., Rio de Janeiro, 22231-010, Brazil, CODEMGE, Development Company of Minas Gerais, 4001 Papa João Paulo II Rd., Belo Horizonte, 31630-901, Brazil; Buchbinder F., FGV EBAPE, Brazilian School of Public and Business Administration at Fundação Getulio Vargas, 30 J. Orlando Dantas St., Rio de Janeiro, 22231-010, Brazil, BNDES, Brazilian Development Bank, 100 República do Chile Av., Rio de Janeiro, 20031-917, Brazil; Santana V., FECAP, Fundação Escola de Comércio Álvares Penteado, 532 Liberdade Av., São Paulo, 01502-001, Brazil","We investigate the determinants of Venture Capital (VC) firms' activity in Latin America. Using more than 10 thousand funding rounds from 2002 to 2020, we found that the status of the firm determines more frequent and larger deals. Non-redundant connections increase the odds of investing, but redundant ones explain larger amounts. Younger firms participate in more deals, but mature firms invest larger amounts. Geographic proximity explains more investments, but institutional differences (regulatory quality and rule of law) explain larger rounds. We show that forecasting models with those features are useful for asset allocation and investment promotion. © 2024 Elsevier B.V.","Machine learning; National distances; Social networks; Syndicated investments; Venture capital","","M. Guzella; FGV EBAPE, Brazilian School of Public and Business Administration at Fundação Getulio Vargas, Rio de Janeiro, 30 J. Orlando Dantas St., 22231-010, Brazil; email: marceloguzella@codemge.com.br","","Elsevier B.V.","15660141","","","","English","Emerg. Mark. Rev.","Article","Final","","Scopus","2-s2.0-85192096959"
"Uysal A.S.; Li X.; Mulvey J.M.","Uysal, A. Sinem (57222956646); Li, Xiaoyue (57222957074); Mulvey, John M. (7005631174)","57222956646; 57222957074; 7005631174","End-to-end risk budgeting portfolio optimization with neural networks","2024","Annals of Operations Research","339","1-2","","397","426","29","2","10.1007/s10479-023-05539-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168956104&doi=10.1007%2fs10479-023-05539-4&partnerID=40&md5=bf8ac989e1d63e0d6628b2421864d550","Department of Operations Research and Financial Engineering, Princeton University, Sherrerd Hall, Princeton, 08544, NJ, United States; The Bendheim Center for Finance, Center for Statistics and Machine Learning, Princeton University, Julis Romo Rabinowitz Building, Princeton, 08544, NJ, United States","Uysal A.S., Department of Operations Research and Financial Engineering, Princeton University, Sherrerd Hall, Princeton, 08544, NJ, United States; Li X., Department of Operations Research and Financial Engineering, Princeton University, Sherrerd Hall, Princeton, 08544, NJ, United States; Mulvey J.M., Department of Operations Research and Financial Engineering, Princeton University, Sherrerd Hall, Princeton, 08544, NJ, United States, The Bendheim Center for Finance, Center for Statistics and Machine Learning, Princeton University, Julis Romo Rabinowitz Building, Princeton, 08544, NJ, United States","Traditional stochastic optimization in financial operations research applications consist of a two-step process: (1) calibrate parameters of the assumed stochastic processes by minimizing a loss function, and (2) optimize a decision vector by reference to the investor’s reward/risk measures. Yet this approach can encounter the error maximization problem. We combine the steps in a single unified feedforward network, called end-to-end. Two variants are examined: a model-free neural network, and a model-based network in which a risk budgeting model is embedded as an implicit layer in a deep neural network. We performed computational experiments with major ETF indices and found that the model-based approach leads to robust performance out-of-sample (2017–2021) when maximizing the Sharpe ratio as the training objective, achieving Sharpe ratio of 1.16 versus 0.83 for a pure risk budgeting model. Simulation studies show statistically significant difference between model-based and model-free approaches as well. We extend the end-to-end algorithm by filtering assets with low volatility and low returns, boosting the out-of-sample Sharpe ratio to 1.24. The end-to-end approach can be readily applied to a wide variety of financial and other optimization problems. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.","Asset selection; End-to-end learning; Risk budgeting portfolio optimization; Risk parity","","A.S. Uysal; Department of Operations Research and Financial Engineering, Princeton University, Princeton, Sherrerd Hall, 08544, United States; email: auysal@alumni.princeton.edu","","Springer","02545330","","","","English","Ann. Oper. Res.","Article","Final","","Scopus","2-s2.0-85168956104"
"Cajias M.; Freudenreich A.","Cajias, Marcelo (55325401300); Freudenreich, Anna (57217065849)","55325401300; 57217065849","What are tenants demanding the most? A machine learning approach for the prediction of time on market","2024","Journal of Property Investment and Finance","42","2","","151","165","14","1","10.1108/JPIF-09-2023-0083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184883239&doi=10.1108%2fJPIF-09-2023-0083&partnerID=40&md5=740a1d3f71e2b8956142bd0d22c69cf5","Department of Investment Strategy and Research, PATRIZIA SE, Augsburg, Germany; International Real Estate Business School, University of Regensburg, Regensburg, Germany","Cajias M., Department of Investment Strategy and Research, PATRIZIA SE, Augsburg, Germany, International Real Estate Business School, University of Regensburg, Regensburg, Germany; Freudenreich A., International Real Estate Business School, University of Regensburg, Regensburg, Germany","Purpose: This is the first article to apply a machine learning approach to the analysis of time on market on real estate markets. Design/methodology/approach: The random survival forest approach is introduced to the real estate market. The most important predictors of time on market are revealed and it is analyzed how the survival probability of residential rental apartments responds to these major characteristics. Findings: Results show that price, living area, construction year, year of listing and the distances to the next hairdresser, bakery and city center have the greatest impact on the marketing time of residential apartments. The time on market for an apartment in Munich is lowest at a price of 750 € per month, an area of 60 m2, built in 1985 and is in a range of 200–400 meters from the important amenities. Practical implications: The findings might be interesting for private and institutional investors to derive real estate investment decisions and implications for portfolio management strategies and ultimately to minimize cash-flow failure. Originality/value: Although machine learning algorithms have been applied frequently on the real estate market for the analysis of prices, its application for examining time on market is completely novel. This is the first paper to apply a machine learning approach to survival analysis on the real estate market. © 2024, Emerald Publishing Limited.","Decision tree; Housing; Machine learning; Random forest; Residential; Time on market","","M. Cajias; Department of Investment Strategy and Research, PATRIZIA SE, Augsburg, Germany; email: marcelocajias@hotmail.com","","Emerald Publishing","1463578X","","","","English","J. Prop. Invest. Finan.","Article","Final","","Scopus","2-s2.0-85184883239"
